Total screen time IN MINUTES (all apps),Social apps total time IN MINUTES,Social Intensity Ratio,Pickups (total),First Pickups (social apps),Notifications (total),Notifications (social),Number of distinct social apps used,Daily goal-violation
589,479,0.813242784,114,53,111,64,5,1
511,408,0.798434442,135,81,129,62,6,0
607,505,0.831960461,132,76,154,75,5,1
715,560,0.783216783,135,87,147,66,4,1
499,399,0.799599198,85,38,79,31,7,0
499,402,0.805611222,143,73,147,77,6,0
722,589,0.815789474,179,81,180,93,4,1
622,529,0.850482315,114,71,135,65,7,1
470,371,0.789361702,83,43,94,37,7,0
594,488,0.821548822,171,79,187,85,5,1
471,391,0.83014862,112,63,113,69,4,0
471,364,0.772823779,78,31,80,50,7,0
557,463,0.831238779,156,101,185,107,6,1
435,375,0.862068966,47,39,178,157,7,1
423,369,0.872340426,33,19,86,59,6,1
431,335,0.777262181,229,154,207,161,5,1
638,582,0.912225705,68,38,253,221,5,1
506,489,0.966403162,51,28,321,283,6,1
567,503,0.88712522,193,140,190,152,6,1
502,473,0.942231076,76,41,218,196,6,1
424,326,0.768867925,206,152,129,85,4,1
629,567,0.901430843,54,31,270,232,6,1
605,484,0.8,122,71,242,190,6,1
432,228,0.527777778,129,70,103,50,5,0
222,139,0.626126126,134,57,62,20,5,0
714,557,0.780112045,114,55,448,408,5,1
547,346,0.632541133,88,42,340,298,5,1
330,266,0.806060606,148,67,272,233,5,0
560,490,0.875,153,115,300,258,5,1
603,557,0.92371476,74,35,454,422,5,1
271,203,0.749077491,137,59,155,103,4,0
706,557,0.788951841,105,56,281,233,4,1
552,425,0.769927536,176,93,149,117,5,1
626,549,0.876996805,81,44,287,263,6,1
541,467,0.863216266,69,33,211,193,5,1
511,367,0.718199609,107,75,122,102,4,1
677,548,0.809453471,145,80,185,165,6,1
621,532,0.85668277,149,99,170,147,4,1
690,605,0.876811594,75,53,205,185,5,1
543,425,0.782688766,126,73,211,190,5,1
548,426,0.777372263,106,70,234,201,6,1
685,585,0.854014599,88,64,222,193,5,1
438,370,0.844748858,134,97,96,72,4,1
819,602,0.735042735,97,62,212,187,5,1
542,500,0.922509225,74,54,140,116,4,1
557,482,0.86535009,133,109,167,139,4,1
597,545,0.912897822,172,101,195,160,5,1
518,490,0.945945946,41,35,105,81,6,1
464,361,0.778017241,116,79,104,73,5,1
590,473,0.801694915,68,39,263,232,5,1
339,275,0.81120944,159,100,84,55,5,0
426,357,0.838028169,62,38,185,164,4,1
476,443,0.930672269,57,41,142,119,5,1
777,633,0.814671815,58,46,227,195,4,1
350,305,0.871428571,215,106,191,149,5,0
469,359,0.765458422,199,115,184,145,5,1
456,315,0.690789474,145,101,202,168,6,1
558,456,0.817204301,52,37,155,120,5,1
519,416,0.801541426,154,123,217,183,5,1
693,580,0.836940837,70,49,240,220,5,1
638,552,0.865203762,73,62,279,262,6,1
515,436,0.846601942,52,39,286,263,4,1
470,333,0.708510638,123,81,156,128,5,1
313,224,0.715654952,163,67,197,164,4,0
409,260,0.635696822,173,108,117,86,4,0
558,439,0.786738351,86,48,218,192,4,1
600,453,0.755,139,91,224,207,6,1
547,491,0.8976234,54,43,166,146,5,1
406,275,0.677339901,158,76,160,128,5,0
647,464,0.717156105,82,58,349,311,8,1
518,400,0.772200772,56,38,214,178,7,1
454,268,0.59030837,164,81,98,60,4,0
594,474,0.797979798,62,30,111,90,6,1
536,463,0.86380597,38,23,150,132,4,1
549,472,0.859744991,86,58,131,109,4,1
494,428,0.866396761,44,31,174,156,6,1
446,342,0.766816143,43,27,149,131,4,1
513,451,0.8791423,64,46,243,226,5,1
515,497,0.965048544,222,111,262,232,6,1
223,166,0.744394619,44,41,178,164,6,0
416,327,0.786057692,182,112,213,177,4,1
