Total screen time IN MINUTES (all apps),Social apps total time IN MINUTES,Social Intensity Ratio,Pickups (total),First Pickups (social apps),Notifications (total),Notifications (social),Number of distinct social apps used,Daily goal-violation,DATE
589,479,0.813242784,114,53,111,64,5,1,19-Nov
511,408,0.798434442,135,81,129,62,6,0,20-Nov
607,505,0.831960461,132,76,154,75,5,1,21-Nov
715,560,0.783216783,135,87,147,66,4,1,22-Nov
499,399,0.799599198,85,38,79,31,7,0,23-Nov
499,402,0.805611222,143,73,147,77,6,0,24-Nov
722,589,0.815789474,179,81,180,93,4,1,25-Nov
622,529,0.850482315,114,71,135,65,7,1,26-Nov
470,371,0.789361702,83,43,94,37,7,0,27-Nov
594,488,0.821548822,171,79,187,85,5,1,28-Nov
471,391,0.83014862,112,63,113,69,4,1,29-Nov
471,364,0.772823779,78,31,80,50,7,0,30-Nov
557,463,0.831238779,156,101,185,107,6,1,1-Dec
